Date,City,Province,Incident,Type of Violence,Age of Victim,Gender of Victim,Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),News Report Link,Follow-up?,Follow-up link,Headlines
"7th September, 2021",Okara,Punjab,A pregnant woman was allegedly murdered by her husband over a domestic issue,"Domestic violence, murder",,Female,,,,,https://www.thenews.com.pk/print/889574-husband-kills-pregnant-wife,,,
"8th September, 2021",Karachi,Sindh,Man held for acid attack on wife,"Domestic violence, acid attack",,Female,,,,,https://www.thenews.com.pk/print/889874-man-held-for-acid-attack-on-wife,,,
"9th September, 2021",Dera Ismail Khan,KP,A young girl sustained severe burn injuries when unknown persons threw acid on her and her mother after beating them black and blue,"Acid attack, assault",,Female,Feale,,,,https://www.thenews.com.pk/print/890497-girl-injured-in-acid-attack-in-di-khan,,,
"10th September, 2021",Karachi,Sindh,A woman was shot and killed by her husband,"Domestic violence, murder",35,Female,,,,,https://www.thenews.com.pk/print/890783-two-women-killed-by-husbands,,,
"10th September, 2021",Multan,Punjab,Police arrests 4 members of a gang accused of abusing minors and making pornographic videos in a marriage hall. The evidence collected shows the suspects sodomizing boys aged between 8 and 12 years.,"Child abuse, rape, non-conseual filming, child pornography","Unknown, but minor",Male,,,,,https://www.thenews.com.pk/print/892016-police-arrest-alleged-child-abusers-search-for-more-suspects-continues,,,
"10th September, 2021",Karachi,Sindh,A woman was stabbed to death by her husband,"Domestic violence, murder",40,Female,,,,,https://www.thenews.com.pk/print/890783-two-women-killed-by-husbands,,,
"11th September, 2021",Karachi,Sindh,A man killed his wife by stabbing her with a knife at their house,"Domestic violence, murder",,Female,,,,,https://www.thenews.com.pk/print/891354-man-arrested-for-wife-s-murder-in-orangi-town,,,
"12th September, 2021",Lahore,Punjab,A woman and her 3 daughters were tortured by 4 men over a property dispute,"Torture, harassment",,Female,Female,Female,Female,,https://www.thenews.com.pk/print/891731-woman-daughters-tortured-over-property,,,
"13th September, 2021",Sialkot,Punjab,A woman was abducted while waiting outside a petrol station and gang raped [report from September 16],"Abduction, gang rape",,Female,,,,,,Yes,https://www.thenews.com.pk/print/892812-no-clue-of-gang-rape-accused,
"14th September, 2021",Lahore,Punjab,A girl was gang-raped by three men in a hotel. One of the accused had befriended with the victim who hailed from Okara on phone.,Gang rape,,Female,,,,,https://www.thenews.com.pk/print/892461-girl-gang-raped-by-lover-friends,,,
"15th September, 2021",Karachi,Sindh,A constable in the Sindh police was remanaded for harassment and rape of a girl on the pretext of providing her a job at the police department,"Harassment, rape, non-consensual filming, blackmailing",,Female,,,,,https://www.thenews.com.pk/print/892650-cop-accused-of-sexual-abuse-sent-to-police-custody-for-three-days,,,
"18th September, 2021",Lahore,Sindh,A man arrested for raping a minor girl,"Child abuse, rape",8,Female,,,,,https://www.thenews.com.pk/print/893566-suspect-held-for-raping-minor-girl-in-gulshan-e-hadeed,,,
"20th September, 2021",Karachi,Sindh,A teenage girl was found chained and locked up by her father and paternal uncle.,"Child abuse, torture",16,Female,,,,,https://www.thenews.com.pk/print/894028-police-rescue-teenage-girl-woman-from-their-families,,,
"20th September, 2021",Karachi,Sindh,A womanwas kept captive for two and half years by her brother who used to beat her up as well.,Torture,,Female,,,,,https://www.thenews.com.pk/print/894028-police-rescue-teenage-girl-woman-from-their-families,,,
"21st September, 2021",Karachi,Sindh,A minor girl was posioned to death by a male guest,Murder,3,Female,,,,,https://www.thenews.com.pk/print/894276-minor-girl-poisoned-to-death,,,
"24th September, 2021",Karachi,Sindh,A man throws acid on this wife,Acid attack,,Female,,,,,https://www.thenews.com.pk/print/895047-man-throws-acid-on-estranged-wife-in-fourth-acid-attack-incident-in-two-months,,,
"26th September, 2021",Haripur,KP,"Three persons, including a van driver, gang-raped a teenage girl","Child abuse, gang rape",17,Female,,,,,https://www.thenews.com.pk/print/895638-teenage-girl-allegedly-gang-raped,,,
"26th September, 2021",Karachi,Sindh,A man was detained after he tried to strangle his wife in a vehicle,Domestic violence,,Female,,,,,https://www.thenews.com.pk/print/895606-man-taken-into-custody-as-he-tries-to-strangle-wife-in-vehicle,,,
"28th September, 2021",Karachi,Sindh,A woman was shot after a family dispute - however the husband turned himself in saying she committed suicide,"Domestic violence, murder",32,Female,,,,,https://www.thenews.com.pk/print/896324-man-turns-himself-in-after-wife-found-shot-dead,,,
"30th September, 2021",Karachi,Sindh,A woman was injured in an acid attack by an unknown person,Acid attack,32,Female,,,,,https://www.thenews.com.pk/print/896582-woman-injured-in-fifth-acid-attack-in-city-in-two-months,,,
"1st October, 2021",Lahore,Punjab,A fake spiritual healer was arrested for sexual harassment of a woman,"Sexual harassment, attempted sexual assault",,Female,,,,,https://www.thenews.com.pk/print/896920-fake-healer-held-for-sexual-harassment,,,
"2nd October, 2021",Lahore,Punjab,A man was arrested for luring a girl while she was playing in the street and attempting to rape her,"Child abuse, attempted rape",10,Female,,,,,https://www.thenews.com.pk/print/897172-man-held-for-rape-attempt,,,
"5th October, 2021",Sukkur,Sindh,A man strangulated to death his wife after declaring her a ‘Kari’,"Domestic violence, murder, karo kari, honour killing",,Female,,,,,https://www.thenews.com.pk/print/898025-man-strangulates-wife-over-karo-kari,,,
"6th October, 2021",Karachi,Sindh,A trans woman was killed in an acid attack,"Acid attack, murder",47,Transgender,,,,,https://www.thenews.com.pk/print/898216-third-acid-attack-in-less-than-a-fortnight-leaves-trans-woman-dead,Yes,https://www.thenews.com.pk/print/899122-trans-woman-murder-suspect-has-fled-to-punjab-claim-police,
"6th October, 2021",Nowshera,KP,A man shot dead his sister in the name of honour,"Honour killing, murder, domestic violene",,Female,,,,,https://www.thenews.com.pk/print/898230-woman-shot-dead-for-honour,,,
"7th October, 2021",Naushahroferoze,Sindh,A woman was shot dead by her brothers-in-law accusing her of being a ‘Kari’,"Domestic violence, murder, karo kari, honour killing",,Female,,,,,https://www.thenews.com.pk/print/898583-mother-of-five-killed-over-karo-kari-in-naushahroferoze,,,
"9th October, 2021",Manga Mandi,Punjab,A woman was poisoned to death by her in-laws ,"Domestic violence, murder",,Female,,,,,https://www.thenews.com.pk/print/899208-woman-poisoned-to-death-by-in-laws,,,
"9th October, 2021",Lahore,Punjab,A 14-year-old maid was raped and murdered,"Child abuse, rape, murder",14,Female,,,,,https://www.thenews.com.pk/print/899137-14-year-old-maid-raped-murdered,,,
"12th October, 2021",Lahore,Punjab,A woman was killed by her in-laws over a domestic dispute. It was found that the in-laws used to demand money from her and torture her.,"Domestic violence, murder",21,Female,,,,,https://www.thenews.com.pk/print/899627-woman-murdered-by-in-laws,,,
"11th October, 2021",Gojra,Punjab,"A girl gang raped on the motorway. The girl went to Gojra as she was offered a job at a boutique by a woman and her two accomplices. When she reached, the two men raped her.",Gang rape,,Female,,,,,https://www.thenews.com.pk/print/900491-girl-gang-raped-on-gojra-motorway,Yes,https://www.thenews.com.pk/print/902132-gang-rape-case-four-days-remand-of-two-accused-granted,
"14th October, 2021",Haripur,KP,A man abducted a girl on her way home and molested her leaving her unconscious.,"Child abuse, rape",9,Female,,,,,https://www.thenews.com.pk/print/900469-nine-year-old-girl-molested,,,
"17th October, 2021",Haripur,KP,The police arrested a man after a teenager accused him and his friend of molesting him and making his video,"Child abuse, molestation, non-consensual filiming",13,Male,,,,,https://www.thenews.com.pk/print/901096-haripur,,,
"20th October, 2021",Kohistan,KP,A women was axed to death by her husband with the help of three other family members in the name of honour. They were acting on the decree of a jirga [reported later],"Honour killing, murder, domestic violene",,Female,,,,,https://www.thenews.com.pk/print/903156-honour-killing-father-demands-justice,,,
"21st October, 2021",Mardan,KP,5 people were arrested for kidnapping a transgender person ,Kidnapping,,Transgender,,,,,https://www.thenews.com.pk/print/902101-five-booked-for-kidnapping-transgender,,,
"23rd October, 2021",Karachi,Sindh,The Federal Investigation Agency’s (FIA) Cyber Crime Reporting Circle (CCRC) arrested a man and his sister for their involvement in harassing a teenager with her private photos and videos.,"Online harassment, blackmailing, non-consensual sharing of information",,Female,,,,,https://e.thenews.com.pk/detail?id=16844,,,
"24th October, 2021",Lahore,Punjab,A man was arrested for raping his step-daughter on the complaint of the victim's mother,"Child abuse, rape, domestic abuse",13,Female,,,,,https://www.thenews.com.pk/print/902886-man-held-for-raping-stepdaughter,,,
"26th October, 2021",Manshera,KP,A transgender person sustained critical injuries while putting up resistance to a sexual assault bid by an armed man.,"Assault, attempted sexual asssault",,Transgender,,,,,https://www.thenews.com.pk/print/903454-transgender-person-injured-in-attack,,,
"31st October, 2021",Manshera,KP,A man killed his wife after she demanded divorce from him in a jirga,"Domestic violence, murder",,Female,,,,,https://www.thenews.com.pk/print/904856-man-kills-wife-in-mansehra,,,
"1st November, 2021",Lahore,Punjab,Two suspects were arrested by the police over sexual harassment of a family in a public place.,Sexual harassment,,Female,Male,,,,,,,
"2nd November, 2021",Karachi,Sindh,"Two sisters and one of their cousins, aged between 15 and 18 years, were kidnapped land later found in an unconscious condition outside their residence. Two of them were found to have been raped.","Child sexual abuse, rape, abduction",,Female,Female,Female,,,https://www.thenews.com.pk/print/906356-mystery-behind-three-girls-alleged-abduction-cum-rape-yet-to-be-solved,,,
"6th November, 2021",Karachi,Sindh,Two men were arrested for their alleged involvement in sexually assaulting a minor girl,"Child abuse, rape",10,Female,,,,,https://e.thenews.com.pk/detail?id=21898,,,
"7th November, 2021",Karachi,Sindh,A man surrendered himself to the police after shooting his wife dead,"Domestic violence, murder",45,Female,,,,,https://www.thenews.com.pk/print/906862-man-surrenders-to-police-after-shooting-wife-dead-in-azizabad,,,
"7th November, 2021",Islamabad,Islamabad,"A 10-year-old girl was raped, killed and her body has been hidden in the public washroom of a deserted Metro Bus Station","Child abuse, rape, murder",10,Female,,,,,https://www.thenews.com.pk/print/907280-unidentified-minor-girl-raped-killed-in-capital,Yes,https://www.thenews.com.pk/print/909158-raped-minor-girl-identified,
"8th November, 2021",Lahore,Punjab,Three men gang-raped a 12-year-old boy and filmed him,"Child abuse, gang rape, non-consensual filming",12,Male,,,,,https://nation.com.pk/09-Nov-2021/12-year-old-boy-gang-raped-filmed-in-lahore,,,
"10th November, 2021",Lahore,Punjab,The police arrested 3 men for making videos of 12-year-old boy while raping him.,"Child abuse, rape",12,Female,,,,,https://www.thenews.com.pk/print/907482-three-arrested-for-raping-12-year-old-boy,,,
"11th November, 2021",Toba Tek Singh,Punjab,"The police arrested the prime suspect, along with his accomplice, for raping an elderly woman",Rape,80,Female,,,,,https://www.thenews.com.pk/print/908864-police-arrest-two-suspects-in-80-year-old-woman-s-rape-case,,,
"14th November, 2021",Lahore,Punjab,The police arrested a man for killing his daughter after a quarrel with his second wife about his two children of his first wife. The man slit open throat of his eight-year-old daughter and portrayed the murder as suicide.,"Domestic violence, murder",8,Female,,,,,https://www.thenews.com.pk/print/908801-man-kills-daughter-portrays-murder-as-suicide,,,
"15th November, 2021",Lahore,Punjab,A suspect has been arrested on charges of sexual harassment of a girl through obscene acts,Harssment,,Female,,,,,https://www.thenews.com.pk/print/909156-man-held-in-harassment-case,,,
"16th November, 2021",Lahore,Punjab,"A 18-year-old girl was killed by her cousin. The perpetrator gave contradictory statements and admitted to committing the crime, other reports suggested the incident was an accident",Murder,18,Female,,,,,https://www.thenews.com.pk/print/909246-girl-killed-by-cousin,,,
"16th November, 2021",Karachi,Sindh,Couple attacked and shot by the woman’s family and former fiancé. The women was wounded while man was killed.,"Murder, attempted murder",,Female,Male,,,,https://www.thenews.com.pk/print/909232-woman-s-family-ex-fiance-named-in-couple-attack-fir,,,
"17th November, 2021",Karachi,Sindh,A teenage girl was shot dead on her doorstep,Murder,15,Female,,,,,https://www.thenews.com.pk/print/909481-teenage-girl-shot-dead-on-her-doorstep,,,
